customer_id,customer_name,email,region,product_category,purchase_amount,purchase_date,loyalty_score,zip_code
47,Customer 47,customer47@example.com,South,Home,224.83,2023-05-19,89.0,73101
48,Customer 48,customer48@example.com,East,Electronics,419.88,2023-05-22,72.0,74101
49,Customer 49,customer49@example.com,West,Food,417.31,2023-05-25,38.0,74101
50,Customer 50,customer50@example.com,North,Apparel,101.36,2023-05-28,73.0,73101
51,Customer 51,customer51@example.com,South,Electronics,433.98,2023-05-31,78.0,73102
52,Customer 52,customer52@example.com,South,Food,307.37,2023-06-03,19.0,74101
53,Customer 53,customer53@example.com,North,Home,74.89,2023-06-06,9.0,73102
54,Customer 54,customer54@example.com,South,Apparel,298.78,2023-06-09,78.0,73101
55,Customer 55,customer55@example.com,North,Apparel,424.82,2023-06-12,2.0,73101
56,Customer 56,customer56@example.com,South,Apparel,307.04,2023-06-15,90.0,73102
57,Customer 57,customer57@example.com,South,Apparel,191.17,2023-06-18,73.0,73101
58,Customer 58,customer58@example.com,South,Electronics,137.54,2023-06-21,11.0,74101
59,Customer 59,customer59@example.com,West,Home,281.08,2023-06-24,10.0,74101
60,Customer 60,customer60@example.com,South,Apparel,284.79,2023-06-27,96.0,73101
61,Customer 61,customer61@example.com,South,Apparel,472.48,2023-06-30,99.0,74101
62,Customer 62,customer62@example.com,North,Electronics,294.19,2023-07-03,97.0,73102
63,Customer 63,customer63@example.com,North,Home,251.05,2023-07-06,18.0,73103
64,Customer 64,customer64@example.com,North,Food,242.6,2023-07-09,41.0,73103
65,Customer 65,customer65@example.com,East,Home,364.68,2023-07-12,36.0,74101
66,Customer 66,customer66@example.com,West,Home,56.26,2023-07-15,74.0,73102
67,Customer 67,customer67@example.com,South,Electronics,95.3,2023-07-18,16.0,73101
68,Customer 68,customer68@example.com,West,Food,286.93,2023-07-21,65.0,73102
69,Customer 69,customer69@example.com,West,Apparel,433.13,2023-07-24,96.0,74101
70,Customer 70,customer70@example.com,West,Home,285.99,2023-07-27,63.0,73102
71,Customer 71,customer71@example.com,West,Home,206.77,2023-07-30,63.0,73102
72,Customer 72,customer72@example.com,East,Home,291.44,2023-08-02,10.0,73102
73,Customer 73,customer73@example.com,North,Electronics,259.8,2023-08-05,20.0,74101
74,Customer 74,customer74@example.com,North,Apparel,173.85,2023-08-08,60.0,74101
75,Customer 75,customer75@example.com,North,Apparel,380.15,2023-08-11,16.0,73102
76,Customer 76,customer76@example.com,East,Apparel,206.0,2023-08-14,78.0,73102
77,Customer 77,customer77@example.com,South,Home,412.05,2023-08-17,41.0,73102
78,Customer 78,customer78@example.com,West,Electronics,135.7,2023-08-20,42.0,73103
79,Customer 79,customer79@example.com,East,Electronics,80.17,2023-08-23,98.0,73102
80,Customer 80,customer80@example.com,West,Electronics,334.91,2023-08-26,93.0,73103
81,Customer 81,customer81@example.com,North,Apparel,201.81,2023-08-29,20.0,74101
82,Customer 82,customer82@example.com,East,Food,423.41,2023-09-01,11.0,73103
83,Customer 83,customer83@example.com,North,Apparel,126.8,2023-09-04,32.0,73102
84,Customer 84,customer84@example.com,East,Food,161.91,2023-09-07,64.0,73103
85,Customer 85,customer85@example.com,West,Electronics,141.01,2023-09-10,87.0,74101
86,Customer 86,customer86@example.com,West,Electronics,399.61,2023-09-13,77.0,74101
87,Customer 87,customer87@example.com,North,Electronics,136.54,2023-09-16,57.0,73103
88,Customer 88,customer88@example.com,South,Food,411.15,2023-09-19,90.0,73101
89,Customer 89,customer89@example.com,West,Apparel,148.6,2023-09-22,43.0,73102
90,Customer 90,customer90@example.com,East,Food,422.92,2023-09-25,17.0,73101
91,Customer 91,customer91@example.com,West,Home,253.25,2023-09-28,50.0,73101
92,Customer 92,customer92@example.com,West,Electronics,346.11,2023-10-01,46.0,74101
93,Customer 93,customer93@example.com,West,Apparel,328.41,2023-10-04,72.0,73102
94,Customer 94,customer94@example.com,West,Home,367.84,2023-10-07,42.0,73103
95,Customer 95,customer95@example.com,South,Home,257.07,2023-10-10,51.0,74101
96,Customer 96,customer96@example.com,South,Food,301.13,2023-10-13,81.0,73101
97,Customer 97,customer97@example.com,West,Food,259.39,2023-10-16,59.0,73101
98,Customer 98,customer98@example.com,South,Food,401.84,2023-10-19,30.0,74101
99,Customer 99,customer99@example.com,South,Electronics,138.13,2023-10-22,59.0,73102
100,Customer 100,customer100@example.com,South,Electronics,437.68,2023-10-25,71.0,74101
